ID,Type,SKU,Nom,Publié,Mis en avant,Visibilité dans le catalogue,Description,Description courte,Prix régulier,Catégories,Étiquettes,Stock,Statut du stock,Poids,Longueur,Largeur,Hauteur,Classe de livraison,Images,Limite d'achat,Produits similaires,Notes
,simple,PC-016,PC Gamer Corsair Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Corsair avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-017,PC Gamer NZXT Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé NZXT avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-018,PC Gamer Gigabyte Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-019,PC Gamer Alienware Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Alienware avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-020,PC Gamer MSI Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé MSI avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-021,PC Gamer ASUS Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé ASUS avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-022,PC Gamer HP Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé HP avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-023,PC Gamer Dell Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Dell avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-024,PC Gamer Acer Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Acer avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-025,PC Gamer Lenovo Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Lenovo avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-026,PC Gamer Corsair Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Corsair avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-027,PC Gamer NZXT Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé NZXT avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-028,PC Gamer Gigabyte Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Gigabyte avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-029,PC Gamer Alienware Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Alienware avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-030,PC Gamer MSI Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé MSI avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-031,PC Gamer ASUS Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé ASUS avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-032,PC Gamer HP Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé HP avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-033,PC Gamer Dell Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Dell avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-034,PC Gamer Acer Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Acer avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-035,PC Gamer Lenovo Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-036,PC Gamer Corsair Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Corsair avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-037,PC Gamer NZXT Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé NZXT avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-038,PC Gamer Gigabyte Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-039,PC Gamer Alienware Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Alienware avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-040,PC Gamer MSI Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé MSI avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-041,PC Gamer ASUS Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé ASUS avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-042,PC Gamer HP Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé HP avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-043,PC Gamer Dell Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Dell avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-044,PC Gamer Acer Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Acer avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-045,PC Gamer Lenovo Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-046,PC Gamer Corsair Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Corsair avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-047,PC Gamer NZXT Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé NZXT avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-048,PC Gamer Gigabyte Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-049,PC Gamer Alienware Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Alienware avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-050,PC Gamer MSI Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé MSI avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-051,PC Gamer ASUS Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé ASUS avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-052,PC Gamer HP Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé HP avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-053,PC Gamer Dell Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Dell avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-054,PC Gamer Acer Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Acer avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-055,PC Gamer Lenovo Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Lenovo avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-056,PC Gamer Corsair Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Corsair avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-057,PC Gamer NZXT Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé NZXT avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-058,PC Gamer Gigabyte Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Gigabyte avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-059,PC Gamer Alienware Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Alienware avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-060,PC Gamer MSI Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé MSI avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-061,PC Gamer ASUS Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé ASUS avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-062,PC Gamer HP Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé HP avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-063,PC Gamer Dell Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Dell avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-064,PC Gamer Acer Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Acer avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-065,PC Gamer Lenovo Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-066,PC Gamer Corsair Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Corsair avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-067,PC Gamer NZXT Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé NZXT avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-068,PC Gamer Gigabyte Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-069,PC Gamer Alienware Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Alienware avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-070,PC Gamer MSI Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé MSI avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-071,PC Gamer ASUS Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé ASUS avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-072,PC Gamer HP Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé HP avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-073,PC Gamer Dell Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Dell avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-074,PC Gamer Acer Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé Acer avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-075,PC Gamer Lenovo Ryzen 5 - RTX 3080,1,0,visible,"PC fixe préassemblé Lenovo avec Ryzen 5, RTX 3080, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Ryzen 5, RTX 3080, 16Go, 512Go SSD",1499,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-076,PC Gamer Corsair Ryzen 7 - RTX 4060,1,0,visible,"PC fixe préassemblé Corsair avec Ryzen 7, RTX 4060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Ryzen 7, RTX 4060, 32Go, 1To SSD",1799,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-077,PC Gamer NZXT Ryzen 9 - RTX 4070,1,0,visible,"PC fixe préassemblé NZXT avec Ryzen 9, RTX 4070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Ryzen 9, RTX 4070, 64Go, 2To SSD",2199,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-078,PC Gamer Gigabyte Intel i5 - RTX 3050,1,0,visible,"PC fixe préassemblé Gigabyte avec Intel i5, RTX 3050, 16Go de RAM et 512Go SSD. Parfait pour le gaming et la création.","Intel i5, RTX 3050, 16Go, 512Go SSD",899,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-079,PC Gamer Alienware Intel i7 - RTX 3060,1,0,visible,"PC fixe préassemblé Alienware avec Intel i7, RTX 3060, 32Go de RAM et 1To SSD. Parfait pour le gaming et la création.","Intel i7, RTX 3060, 32Go, 1To SSD",1099,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
,simple,PC-080,PC Gamer MSI Intel i9 - RTX 3070,1,0,visible,"PC fixe préassemblé MSI avec Intel i9, RTX 3070, 64Go de RAM et 2To SSD. Parfait pour le gaming et la création.","Intel i9, RTX 3070, 64Go, 2To SSD",1299,PC Fixe,"PC,Gamer,Fixe",15,instock,10,50,25,45,,,,,
